filepath,substance,n_bbox
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0077/480.jpg,bird_squirrel,2
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0077/120.jpg,bird,2
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0077/510.jpg,bird,1
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0077/420.jpg,bird_squirrel,2
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0077/390.jpg,bird,2
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0077/000.jpg,bird_squirrel,2
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0077/540.jpg,bird,2
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0077/600.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0077/270.jpg,bird,2
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/030.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/330.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/090.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/210.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/150.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/450.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/060.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/360.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/240.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/300.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/180.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/570.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/480.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/120.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/510.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/420.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/390.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/000.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/540.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0090/270.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/030.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/330.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/090.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/210.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/150.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/450.jpg,serow,1
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/060.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/360.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/240.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/300.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/180.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/570.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/480.jpg,boar,1
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/120.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/510.jpg,boar,1
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/420.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/390.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/000.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/540.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/600.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot20/IMG_0004/270.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/030.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/330.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/090.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/210.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/150.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/450.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/060.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/360.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/240.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/300.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/180.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/570.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/480.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/120.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/510.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/420.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/390.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/000.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/540.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/600.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0019/270.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/030.jpg,,0
